day,min,max
Tonight,--,58°
Sat 17,65°,53°
Sun 18,68°,58°
Mon 19,69°,56°
Tue 20,71°,59°
Wed 21,67°,55°
Thu 22,66°,53°
Fri 23,67°,54°
Sat 24,67°,55°
Sun 25,67°,56°
Mon 26,66°,57°
Tue 27,65°,57°
Wed 28,65°,57°
Thu 29,65°,57°
Fri 30,65°,57°
